Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City,State,Zip,Inspection Date,Inspection Type,Results
2280016,ERIK'S DELI & SOUP BARZ,ERIK'S DELI & SOUP BARZ,2652316,,,133 N WELLS ST ,CHICAGO,IL,60606,2019-03-26T00:00:00,License,Not Ready
2280024,GO PUFF,GO PUFF,2647291,Grocery Store,Risk 3 (Low),1347 S ASHLAND AVE ,CHICAGO,IL,60608,2019-03-26T00:00:00,License,Fail
2280013,TEL-AVIV BAKERY,TEL-AVIV BAKERY,1577712,Bakery,Risk 2 (Medium),2944 W DEVON AVE ,CHICAGO,IL,60659,2019-03-26T00:00:00,Complaint Re-Inspection,Pass w/ Conditions
2280012,BROASTED CHICKEN LLC.,BROASTED CHICKEN LLC.,2578492,Restaurant,Risk 1 (High),5930 W LAWRENCE AVE ,CHICAGO,IL,60630,2019-03-25T00:00:00,Canvass,Out of Business
2280011,"THE VEGGIE GRILL, INC",THE VEGGIE GRILL,2560625,Restaurant,Risk 1 (High),204 N WELLS ST ,CHICAGO,IL,60606,2019-03-25T00:00:00,Canvass,Pass w/ Conditions
2280007,BROASTED CHICKEN ROYAL CHICAGO LTD,BROASTED CHICKEN ROYALE,2657719,Restaurant,Risk 1 (High),5930 W LAWRENCE AVE ,CHICAGO,IL,60630,2019-03-25T00:00:00,License,Fail
2280010,SAFE HAVEN CHILDCARE CENTER,SAFE HAVEN CHILDCARE CENTER,2609172,Children's Services Facility,Risk 1 (High),905-907 W 87TH ST ,CHICAGO,IL,60620,2019-03-25T00:00:00,License Re-Inspection,Fail
2280006,J & J FISH,J & J FISH,1140493,Restaurant,Risk 2 (Medium),10943 S WESTERN AVE ,CHICAGO,IL,60643,2019-03-25T00:00:00,Canvass,Pass w/ Conditions
2279998,HOST INTERNATIONAL B05,LA TAPENADE  (T1-B5),34203,Restaurant,Risk 1 (High),11601 W TOUHY AVE ,CHICAGO,IL,60666,2019-03-25T00:00:00,Canvass,Pass
2279993,FREMONT BAR,FREMONT BAR,2631122,Restaurant,Risk 1 (High),15 W ILLINOIS ST ,CHICAGO,IL,60654,2019-03-25T00:00:00,License,Pass
2280004,KARAHI CORNER,KARAHI CORNER,2391409,Restaurant,Risk 1 (High),2658 W DEVON AVE ,CHICAGO,IL,60659,2019-03-25T00:00:00,Canvass,Pass w/ Conditions
2280000,OSTERIA DEL PASTAIO,OSTERIA DEL PASTAIO,2253875,Restaurant,Risk 1 (High),111 E CHESTNUT ST ,CHICAGO,IL,60611,2019-03-25T00:00:00,Complaint Re-Inspection,Pass w/ Conditions
2279988,RESI'S BIERSTUBE INC,RESI'S BIERSTUBE,800,Restaurant,Risk 1 (High),2034 W IRVING PARK RD ,CHICAGO,IL,60618,2019-03-25T00:00:00,Canvass,Pass w/ Conditions
2279985,SEE THRU CHINESE KITCHEN,SEE THRU CHINESE KITCHEN,36468,Restaurant,Risk 1 (High),10939 S WESTERN AVE ,CHICAGO,IL,60643,2019-03-25T00:00:00,Canvass Re-Inspection,Pass
2279981,DUNKIN DONUTS/BASKIN ROBBINS,DUNKIN DONUTS/BASKIN ROBBINS,2575074,Restaurant,Risk 2 (Medium),5130 N BROADWAY ,CHICAGO,IL,60640,2019-03-25T00:00:00,Complaint,Fail
2280008,PUEBLO NUEVO,PUEBLO NUEVO,2098852,Restaurant,Risk 1 (High),4342 N CENTRAL AVE ,CHICAGO,IL,60634,2019-03-25T00:00:00,Canvass,Pass w/ Conditions
2279984,LA BARCA EL TACONAZO,LA BARCA EL TACONAZO,2463452,Restaurant,Risk 1 (High),7601 S CICERO AVE ,CHICAGO,IL,60652,2019-03-25T00:00:00,Canvass,Pass w/ Conditions
2279977,CHILI'S T-I,CHILI'S (T1-B14),34169,Restaurant,Risk 1 (High),11601 W TOUHY AVE ,CHICAGO,IL,60666,2019-03-25T00:00:00,Canvass,Pass
2279983,RICO FRESH MARKET,RICO FRESH MARKET,2245840,Grocery Store,Risk 1 (High),3552 W ARMITAGE AVE ,CHICAGO,IL,60647,2019-03-25T00:00:00,Canvass,Pass w/ Conditions
2279973,ARAMARK/1ST & FRESH CATERING,1ST & FRESH CATERING,1888834,Catering,Risk 1 (High),205 W Randolph ST ,CHICAGO,IL,60606,2019-03-25T00:00:00,Complaint,Pass w/ Conditions
2279971,TACO BELL 34921,TACO BELL 34921,2653297,Restaurant,Risk 1 (High),7906 S WESTERN AVE ,CHICAGO,IL,60629,2019-03-25T00:00:00,License,Not Ready
2279965,PADDY MAC'S,PADDY MAC'S,7098,Restaurant,Risk 1 (High),4157 N PULASKI RD ,CHICAGO,IL,60641,2019-03-25T00:00:00,Complaint Re-Inspection,Pass w/ Conditions
2279963,TUSCANY CAFE,TUSCANY CAFE (T1-B18),1916161,Restaurant,Risk 1 (High),11601 W TOUHY AVE ,CHICAGO,IL,60666,2019-03-25T00:00:00,Canvass,Pass
2279966,COUNTY FAIR FOODS,COUNTY FAIR FOODS,37096,Grocery Store,Risk 1 (High),10800 S WESTERN AVE ,CHICAGO,IL,60643,2019-03-25T00:00:00,Canvass,Fail
2279968,"EL NUEVO TACONAZO, INC.","EL NUEVO TACONAZO, INC.",2458020,Restaurant,Risk 1 (High),5849 S KEDZIE AVE ,CHICAGO,IL,60629,2019-03-25T00:00:00,Complaint,Pass w/ Conditions
2279958,ST. PIUS V SCHOOL,ST. PIUS V SCHOOL,2225598,School,Risk 1 (High),1919 S ASHLAND AVE ,CHICAGO,IL,60608,2019-03-25T00:00:00,Canvass,Pass w/ Conditions
2279952,MARIANO'S 8515,MARIANO'S,2313619,Grocery Store,Risk 1 (High),1800 W LAWRENCE AVE ,CHICAGO,IL,60640,2019-03-25T00:00:00,Short Form Complaint,Pass w/ Conditions
2279951,RAO FAMILY RESTAURANT,TONY'S CHINESE & AMERICAN RESTAURANT,2458231,Restaurant,Risk 1 (High),6347 W GRAND AVE ,CHICAGO,IL,60639,2019-03-25T00:00:00,Canvass Re-Inspection,Pass w/ Conditions
2279956,NICK'S DRIVE INN,NICK'S DRIVE INN,15136,Restaurant,Risk 1 (High),7216 N HARLEM AVE ,CHICAGO,IL,60631,2019-03-25T00:00:00,Canvass Re-Inspection,Pass w/ Conditions
2279945,Chicago Montessori,Chicago Montessori,2220978,Daycare Combo 1586,Risk 1 (High),4300 N Hermitage AVE ,CHICAGO,IL,60613,2019-03-25T00:00:00,License,Fail
2279959,ROSE-ANGELA HALL,ROSE-ANGELA HALL (ST MARY OF PROVIDENCE),2204605,Long Term Care,Risk 1 (High),4200 N AUSTIN AVE ,CHICAGO,IL,60634,2019-03-25T00:00:00,Canvass,Pass
2279934,"DIVERSEY DOLLAR ISLAND, INC.",DOLLAR ISLAND,2636268,Grocery Store,Risk 3 (Low),5941 W DIVERSEY AVE ,CHICAGO,IL,60639,2019-03-25T00:00:00,Complaint Re-Inspection,Pass w/ Conditions
2279938,"PARENT COOPERATIVE FOR EARLY LEARNING, INC.","PARENT COOPERATIVE FOR EARLY LEARNING, INC.",2215722,Daycare (2 - 6 Years),Risk 1 (High),5300 S SHORE DR ,CHICAGO,IL,60615,2019-03-25T00:00:00,License,Pass
2279935,EL PILON RESTAURANT CORPORATION,EL PILON RESTAURANT CORPORATION,2386307,Restaurant,Risk 1 (High),3422 W ARMITAGE AVE ,CHICAGO,IL,60647,2019-03-25T00:00:00,Canvass,Pass w/ Conditions
2279933,"SCOOP'S, INC.",MR.  ZEE'S II,1927728,Restaurant,Risk 1 (High),4356 N CENTRAL AVE ,CHICAGO,IL,60634,2019-03-25T00:00:00,Complaint,Pass w/ Conditions
2279930,F. STOCK ELEMENTARY SCHOOL,FREDERICK STOCK ELEMENTARY SCHOOL,30081,School,Risk 1 (High),7507 W Birchwood (7500N) ,CHICAGO,IL,60631,2019-03-25T00:00:00,Canvass Re-Inspection,Pass
2279950,ROSWELL MASON CPC,ROSWELL MASON CPC,24382,School,Risk 1 (High),4216 W 19TH ST ,CHICAGO,IL,60623,2019-03-25T00:00:00,Canvass,Fail
2279929,BENITO JUAREZ COMMUNITY ACADEMY,JUAREZ (H/S),2915819,School,Risk 1 (High),1450-1510 W CERMAK RD ,CHICAGO,IL,60608,2019-03-25T00:00:00,Canvass,Pass
2279928,MAISON MARCEL,MAISON MARCEL,2647082,Bakery,Risk 2 (Medium),2008 N HALSTED ST ,CHICAGO,IL,60614,2019-03-25T00:00:00,License Re-Inspection,Pass
2279927,PIZZERIA DEEPO,PIZZERIA DEEPO,2093128,Restaurant,Risk 2 (Medium),1742 W 99TH ST ,CHICAGO,IL,60643,2019-03-25T00:00:00,Canvass,Out of Business
2279925,PIZZERIA DEEPO,PIZZERIA DEEPO,2646843,Restaurant,Risk 1 (High),1742 W 99TH ST ,CHICAGO,IL,60643,2019-03-25T00:00:00,License Re-Inspection,Pass w/ Conditions
2279923,VALERIO'S TROPICAL BAKESHOP,VALERIO'S,2483618,Bakery,Risk 1 (High),5033 N ELSTON AVE ,CHICAGO,IL,60630,2019-03-22T00:00:00,Canvass,Pass w/ Conditions
2279916,NEW YORK HALAL PIZZA,NEW YORK HALAL PIZZA,2506788,Restaurant,Risk 1 (High),2262 W DEVON AVE ,CHICAGO,IL,60659,2019-03-22T00:00:00,Canvass,No Entry
2279917,WISEGUYS PIZZA,WISEGUYS PIZZA,1898379,Restaurant,Risk 1 (High),3822 W 111TH ST ,CHICAGO,IL,60655,2019-03-22T00:00:00,Canvass,Pass
2279921,GRAND TERRACE BANQUETS INC.,GRAND TERRACE BANQUETS,31758,BANQUET,Risk 1 (High),6012 W GRAND AVE ,CHICAGO,IL,60639,2019-03-22T00:00:00,Canvass,Pass w/ Conditions
2279918,PIZZERIA AROMA,PIZZERIA AROMA,1227658,Restaurant,Risk 1 (High),1125 W BERWYN AVE ,CHICAGO,IL,60640,2019-03-22T00:00:00,Canvass,Out of Business
2279912,PHILLIPS 66,PHILLIPS 66,2069855,Grocery Store,Risk 3 (Low),8645 S ASHLAND AVE ,CHICAGO,IL,60620,2019-03-22T00:00:00,Canvass,Out of Business
2279920,FIESTA TAPATIA,FIESTA TAPATIA,25582,Restaurant,Risk 1 (High),2752 W CERMAK RD ,CHICAGO,IL,60608,2019-03-22T00:00:00,Canvass,Pass w/ Conditions
2279911,Taqueria El Dorado #2,Taqueria El Dorado #2,2463497,Restaurant,Risk 1 (High),3209 W LAWRENCE AVE ,CHICAGO,IL,60625,2019-03-22T00:00:00,Canvass,Pass w/ Conditions
2279908,FAMILY FRESH MEAT MART,FAMILY FRESH MEAT MART,2548779,Grocery Store,Risk 2 (Medium),457 E 79th ST ,CHICAGO,IL,60619,2019-03-22T00:00:00,Complaint Re-Inspection,Pass
2279909,SHARKS FISH & CHICKEN,SHARKS FISH & CHICKEN,2653058,Restaurant,Risk 2 (Medium),7100 S WESTERN AVE ,CHICAGO,IL,60636,2019-03-22T00:00:00,License Re-Inspection,Pass w/ Conditions
2279914,CITGO,CITGO,2646972,Grocery Store,Risk 3 (Low),8256 S PULASKI RD ,CHICAGO,IL,60652,2019-03-22T00:00:00,License Re-Inspection,Pass w/ Conditions
2279915,MAGIC JUG,MAGIC JUG,1488054,Restaurant,Risk 1 (High),6354 W IRVING PARK RD ,CHICAGO,IL,60634,2019-03-22T00:00:00,Canvass,Pass w/ Conditions
2279901,SPACCANAPOLI,SPACCA NAPOLI,1475902,Restaurant,Risk 1 (High),1769 W SUNNYSIDE AVE ,CHICAGO,IL,60640,2019-03-22T00:00:00,Complaint,Fail
2279899,Chicago Agricultural  (H/S),Chicago Agricultural  (H/S),47091,School,Risk 1 (High),3857 W 111th St (11100S) ,CHICAGO,IL,60655,2019-03-22T00:00:00,Canvass Re-Inspection,Pass
2279896,GARDEN TERRACE,GARDEN TERRACE,1167172,Restaurant,Risk 1 (High),6328-30 W IRVING PARK RD ,CHICAGO,IL,60634,2019-03-22T00:00:00,Canvass,No Entry
2279893,DONG KY RESTAURANT & BAKERY,DONG KY RESTAURANT & BAKERY,1273135,Restaurant,Risk 1 (High),4877 N BROADWAY ,CHICAGO,IL,60640,2019-03-22T00:00:00,Complaint,Fail
2279895,Ethiopian Diamond II Restaurant Inc.,ETHIOPIAN DIAMOND II RESTAURANT,1986871,Restaurant,Risk 1 (High),7537-7539 N Clark ST ,CHICAGO,IL,60626,2019-03-22T00:00:00,Canvass Re-Inspection,Pass w/ Conditions
2279898,HWA WON,HWA WON,2341742,Restaurant,Risk 1 (High),2519 W PETERSON AVE ,CHICAGO,IL,60659,2019-03-22T00:00:00,Canvass,Fail
2279892,SABORCITO ECUATORIANO,SABORCITO ECUATORIANO,2631898,Restaurant,Risk 1 (High),3536 W LAWRENCE AVE ,CHICAGO,IL,60625,2019-03-22T00:00:00,Short Form Complaint,Pass w/ Conditions
2279891,"A 87 CAFE AND RESTAURANT,CORP","A 87  CAFE AND RESTAURANT,CORP",2535691,Restaurant,Risk 1 (High),4393 N ELSTON AVE ,CHICAGO,IL,60641,2019-03-22T00:00:00,Canvass,Out of Business
2279887,HUMMUS GRILL INC,HUMMUS GRILL,2653276,Restaurant,Risk 1 (High),744 N DAMEN AVE ,CHICAGO,IL,60622,2019-03-22T00:00:00,License,Pass w/ Conditions
2279886,KRISPY'S SEAFOOD & CHICKEN,KRISPY'S SEAFOOD & CHICKEN,2428725,Restaurant,Risk 2 (Medium),8255 S KEDZIE AVE ,CHICAGO,IL,60652,2019-03-22T00:00:00,Canvass,Pass w/ Conditions
2279889,Sarpino's Pizza,Sarpino's Pizzeria,2432024,Restaurant,Risk 1 (High),6526 W NORTH AVE ,CHICAGO,IL,60707,2019-03-22T00:00:00,Complaint,Pass
2279897,ROOTS HANDMADE PIZZA-LINCOLN SQUARE,ROOTS & THE SIXTH,2341755,Restaurant,Risk 1 (High),2200 W LAWRENCE AVE ,CHICAGO,IL,60625,2019-03-22T00:00:00,Complaint,Fail
2279883,REMEDY AT AON CENTER,REMEDY AT AON CENTER,2657694,Restaurant,Risk 2 (Medium),200 E RANDOLPH ST ,CHICAGO,IL,60601,2019-03-22T00:00:00,License,Pass w/ Conditions
2279882,PALETERIA JUAREZ,PALETERIA  JUAREZ,2211322,MOBILE DESSERTS VENDOR,Risk 3 (Low),2215 S KEDZIE AVE ,CHICAGO,IL,60623,2019-03-22T00:00:00,License,Not Ready
2279881,CHILDREN LEARN & PLAY DAY CARE II INC.,CHILDREN LEARN & PLAY DAY CARE II INC.,2215982,Daycare Above and Under 2 Years,Risk 1 (High),6512 S HALSTED ST ,CHICAGO,IL,60621,2019-03-22T00:00:00,License Re-Inspection,Fail
2279880,L & M GRILL INC.,L & M GRILL INC.,2431959,Restaurant,Risk 1 (High),5125 W 47TH ST ,CHICAGO,IL,60638,2019-03-22T00:00:00,Canvass,Pass w/ Conditions
2279879,EL ASADOR EXPRESS,EL ASADOR EXPRESS,2398424,Restaurant,Risk 1 (High),2753 W 51ST ST ,CHICAGO,IL,60632,2019-03-22T00:00:00,Canvass,Pass w/ Conditions
2279875,SEAFOOD CITY SUPERMARKET,SEAFOOD CITY SUPERMARKET,2469807,Grocery Store,Risk 1 (High),5033 N ELSTON AVE ,CHICAGO,IL,60630,2019-03-22T00:00:00,Canvass Re-Inspection,Pass w/ Conditions
2279870,CHARTWELLS THOMPSON,UIC COLLEGE PREP,2202620,School,Risk 1 (High),1231 S DAMEN AVE ,CHICAGO,IL,60608,2019-03-22T00:00:00,Canvass,Pass
2279869,CHICAGO WAFFLES,CHICAGO WAFFLES,2652928,Restaurant,Risk 1 (High),1400 S MICHIGAN AVE ,CHICAGO,IL,60605,2019-03-22T00:00:00,License,Not Ready
2279868,MI LINDA COSTA CHICA INC.,MI LINDA COSTA CHICA,2652683,Restaurant,Risk 1 (High),5344 W FULLERTON AVE ,CHICAGO,IL,60639,2019-03-22T00:00:00,License Re-Inspection,Pass
2279873,DOLLAR TREE #06868,DOLLAR TREE,2646606,Grocery Store,Risk 3 (Low),5101 W DIVISION ST ,CHICAGO,IL,60651,2019-03-22T00:00:00,License,Pass w/ Conditions
2279876,NAWAZ GULSHAN,NAWAZ GULSHAN,2647459,Restaurant,Risk 1 (High),6237 N WESTERN AVE ,CHICAGO,IL,60659,2019-03-22T00:00:00,License,Fail
2279867,"SUNRISE BREAKFAST & LUNCH RESTAURANT, INC.","SUNRISE BREAKFAST & LUNCH RESTAURANT, INC.",2626697,Restaurant,Risk 1 (High),10641-10645 S PULASKI RD ,CHICAGO,IL,60655,2019-03-22T00:00:00,Canvass,Fail
2279866,FAMILY DOLLAR STORE #7570,FAMILY DOLLAR STORE #7570,1742913,,Risk 3 (Low),5101 W DIVISION ST ,CHICAGO,IL,60651,2019-03-22T00:00:00,Canvass,Out of Business
2279874,SUBWAY,SUBWAY,2516813,Restaurant,Risk 1 (High),4036 N NARRAGANSETT ,CHICAGO,IL,60634,2019-03-22T00:00:00,Canvass,Pass w/ Conditions
2279871,GOURMET GORILLA,HUNTER PERKINS CAMPUS,2608552,CHARTER SCHOOL,Risk 1 (High),1700 W 83RD ST ,CHICAGO,IL,60620,2019-03-22T00:00:00,Canvass,Fail
2279864,DUNKIN DONUTS/ BASKIN ROBBINS/ TOGO'S,DUNKIN DONUTS/ BASKIN ROBBINS,1596892,Restaurant,Risk 2 (Medium),7905 S CICERO AVE ,CHICAGO,IL,60652,2019-03-22T00:00:00,Canvass,Fail
2279860,ST. DANIEL THE PROPHET,ST. DANIEL THE PROPHET,2225080,School,Risk 1 (High),5337 S NATOMA AVE ,CHICAGO,IL,60638,2019-03-22T00:00:00,Canvass,Pass w/ Conditions
2279858,HWA WON,HWA WON,2341742,Restaurant,Risk 1 (High),2519 W PETERSON AVE ,CHICAGO,IL,60659,2019-03-22T00:00:00,Canvass,No Entry
2279859,MORENAS KITCHEN,MORENA'S KITCHEN,2642127,Restaurant,Risk 1 (High),5058 W ARMITAGE AVE ,CHICAGO,IL,60639,2019-03-22T00:00:00,License Re-Inspection,Fail
2279857,THE JOINERY STUDIOS,THE JOINERY,2636637,EVENT VENU,Risk 3 (Low),2533-37 W HOMER ST ,CHICAGO,IL,60647,2019-03-22T00:00:00,License Re-Inspection,Pass
2279855,"AFTER SCHOOL MATTERS,INC",AFTER SCHOOL MATTERS,2522907,School,Risk 1 (High),3401-3435 N CICERO AVE ,CHICAGO,IL,60641,2019-03-22T00:00:00,Canvass,Pass w/ Conditions
2279853,FUN OL' CAKES INC.,FUN OL' CAKES INC.,2583417,Restaurant,Risk 2 (Medium),3805 S KEDZIE AVE ,CHICAGO,IL,60632,2019-03-22T00:00:00,Canvass,Pass w/ Conditions
2279852,BROTHER RICE HIGH SCHOOL,BROTHER RICE HIGH SCHOOL,1980784,School,Risk 1 (High),10001 S Pulaski RD ,CHICAGO,IL,60655,2019-03-22T00:00:00,Canvass Re-Inspection,Pass w/ Conditions
2279851,ORIGINAL PAKIZA INC.,ORIGINAL PAKIZA INC.,2609221,Restaurant,Risk 1 (High),1009-1011 N ORLEANS ST ,CHICAGO,IL,60610,2019-03-22T00:00:00,Complaint Re-Inspection,Pass
2279849,ASPIRA HAUGAN,ASPIRA HAUGAN MIDDLE SCHOOL,66351,School,Risk 1 (High),3729 W LELAND AVE ,CHICAGO,IL,60625,2019-03-22T00:00:00,Canvass,Pass
2279850,EASTER SEALS METROPOLITAN CHICAGO INC.,EASTER SEALS METROPOLITAN CHICAGO INC.,2353850,School,Risk 1 (High),1939 W 13TH ST. ,CHICAGO,IL,60608,2019-03-22T00:00:00,Canvass,Pass w/ Conditions
2279845,WINESTYLES,WINESTYLES,2632298,Restaurant,Risk 2 (Medium),6182 N NORTHWEST HWY ,CHICAGO,IL,60631,2019-03-21T00:00:00,License,Fail
2279844,WINESTYLES,WINESTYLES,2632295,Restaurant,Risk 2 (Medium),6182 N NORTHWEST HWY ,CHICAGO,IL,60631,2019-03-21T00:00:00,License,Fail
2279846,D'AGOSTINOS PIZZA,D'AGOSTINOS PIZZA,2516916,Restaurant,Risk 1 (High),1351 W ADDISON ST ,CHICAGO,IL,60613,2019-03-21T00:00:00,Canvass Re-Inspection,Pass
2279847,St. Viator,St. Viator,1878519,School,Risk 1 (High),4140 W Addison ST ,CHICAGO,IL,60641,2019-03-21T00:00:00,Canvass Re-Inspection,Pass
